name,ctype,csubtype,contract,address,all_categories
Atlantis,DeFi,DEX,AlgebraInterfaceMulticall,0xb4f9b6b019e75cbe51af4425b2fc12797e2ee2a1,DeFi::DEX
Atlantis,DeFi,DEX,AlgebraPoolDeployer,0xd7cb0e0692f2d55a17ba81c1fe5501d66774fc4a,DeFi::DEX
Atlantis,DeFi,DEX,AlgebraVaultFactoryStub,0x955b95b8532fe75ddcf2161f61127be74a768158,DeFi::DEX
Atlantis,DeFi,DEX,EntryPoint,0x4a3bc48c156384f9564fd65a53a2f3d534d8f2b7,DeFi::DEX
Atlantis,DeFi,DEX,FarmingCenter,0x658e287e9c820484f5808f687dc4863b552de37d,DeFi::DEX
Atlantis,DeFi,DEX,LimitOrderManager,0x503d191cafab1d097b5f798d850e5897195c1d74,DeFi::DEX
Atlantis,DeFi,DEX,NonfungiblePositionManager,0x69d57b9d705ead73a5d2f2476c30c55bd755cc2f,DeFi::DEX
Atlantis,DeFi,DEX,NonfungibleTokenPositionDescriptor,0xd637cbc214bc3dd354abb309f4fe717ffdd0b28c,DeFi::DEX
Atlantis,DeFi,DEX,PluginFactory,0xfe3becd788320465ab649015f34f7771220a88b2,DeFi::DEX
Atlantis,DeFi,DEX,Proxy,0x6ad6a4f233f1e33613e996ccc17409b93ff8bf5f,DeFi::DEX
Atlantis,DeFi,DEX,Quoter,0x03f8b4b140249dc7b2503c928e7258cce1d91f1a,DeFi::DEX
Atlantis,DeFi,DEX,QuoterV2,0xa77ad9f635a3fb3bccc5e6d1a87cb269746aba17,DeFi::DEX
Atlantis,DeFi,DEX,SecurityRegistry,0x83d4a9ea77a4dba073cd90b30410ac9f95f93e7c,DeFi::DEX
Atlantis,DeFi,DEX,SwapRouter,0x3012e9049d05b4b5369d690114d5a5861ebb85cb,DeFi::DEX
Atlantis,DeFi,DEX,TickLens,0x13fce0acbe6fb11641ab753212550574cad31415,DeFi::DEX
Bean Exchange,DeFi,DEX,DLMM_Factory,0x8bb9727ca742c146563dccbafb9308a234e1d242,DeFi::DEX;DeFi::Perpetuals / Derivatives
Bean Exchange,DeFi,DEX,DLMM_Quoter,0xa398af902950081f2fbe3e16e5e474c2c72ae27a,DeFi::DEX;DeFi::Perpetuals / Derivatives
Bean Exchange,DeFi,DEX,DLMM_Router,0x721ac9e688e6b86f48b08db2ba2d4b7bbbd12665,DeFi::DEX;DeFi::Perpetuals / Derivatives
Bean Exchange,DeFi,DEX,RewardVault,0x9095e0a4eb3bd8647b636079c32336535397487d,DeFi::DEX;DeFi::Perpetuals / Derivatives
Capricorn,DeFi,DEX,CapricornCLFactory,0x6b5f564339dbad6b780249827f2198a841feb7f3,DeFi::DEX
Capricorn,DeFi,DEX,NonfungibleTokenPositionDescriptor,0xed2850d3704a1a5bcb6158f27deda3d6ff4c31d9,DeFi::DEX
Capricorn,DeFi,DEX,NonfungibleTokenPositionManager,0x4c02af995bb1f574c9bf31f43ddc112414ae0ac7,DeFi::DEX
Capricorn,DeFi,DEX,QuoterV2,0xb430edd2b54cdb3b25703fb3342ca3a88663a04d,DeFi::DEX
Capricorn,DeFi,DEX,SwapRouter,0xdac97b6a3951641b177283028a8f428332333071,DeFi::DEX
Clober,DeFi,DEX,BookManager,0x6657d192273731c3cac646cc82d5f28d0cbe8ccc,DeFi::DEX
Clober,DeFi,DEX,BookViewer,0xe424c211e2ed8a5b6d1c57fa493c41715568d238,DeFi::DEX
Clober,DeFi,DEX,Controller,0x19b68a2b909d96c05b623050c276fbd457de8e83,DeFi::DEX
Clober,DeFi,DEX,Minter,0xb1251bf43bb7de76de7e6ce7b64af843dfc9d242,DeFi::DEX
Clober,DeFi,DEX,Operator,0xcbd3c0b81a9a36356a3669a7f60a0d2f0846195b,DeFi::DEX
Clober,DeFi,DEX,Rebalancer,0xb09684f5486d1af80699bbc27f14dd5a905da873,DeFi::DEX
Clober,DeFi,DEX,Router,0x7b58a24c5628881a141d630f101db433d419b372,DeFi::DEX
Clober,DeFi,DEX,Strategy,0x54cd5332b1689b6506ce089da5651b1a814e9e7d,DeFi::DEX
Clober,DeFi,DEX,Wrapped6909Factory,0x9050b0a12d92b8ba7369ecc87bcd04643fa0cfdb,DeFi::DEX
Curve Finance,DeFi,DEX,AddressProvider,0x4574921eb950d3fd5b01562162ec566cb8bc3648,DeFi::DEX;DeFi::Stableswap
Curve Finance,DeFi,DEX,ChildGaugeFactory,0x41d2c5128a7241ec1f7ce346b162c347c19548b7,DeFi::DEX;DeFi::Stableswap
Curve Finance,DeFi,DEX,DepositAndStake,0xb2be7692b07b640c9f2ee1187cee2faec741f872,DeFi::DEX;DeFi::Stableswap
Curve Finance,DeFi,DEX,FeeReceiver,0x193110ce1542d7371e1515bd6a2e470fdefc310d,DeFi::DEX;DeFi::Stableswap
Curve Finance,DeFi,DEX,GaugeImplementation,0xbb8a5e91295131ce07b6bfe301c49bcd925a2902,DeFi::DEX;DeFi::Stableswap
